Id,SalePrice
1461,56195.863410117134
1462,67363550.8863746
1463,-161098.0900779084
1464,-63970.69931714653
1465,417418.04733213125
1466,-1242594.2196798164
1467,1761593.1568414315
1468,-204160.85410010573
1469,-82598.09587788777
1470,-1191493.2756101945
1471,532739.4434776714
1472,-367625.766105804
1473,-435027.34797243425
1474,600398.6467986796
1475,-640988.7484136929
1476,2135984.054209521
1477,-167893.27607747904
1478,939032.8475886055
1479,1826353.2428167518
1480,3141194.7506830567
1481,59936.33702426907
1482,876463.5848324622
1483,-1053784.695853703
1484,120639.71694664744
1485,1158834.0999446346
1486,1281245.011359531
1487,1527814.0971049324
1488,627879.0789656822
1489,616052.6124120643
1490,-435309.1230930947
1491,153346.7105180857
1492,-1170528.09235409
1493,1664700.1057002859
1494,160457.18856183768
1495,534208.8772357749
1496,1197325.1564536758
1497,684896.5337564341
1498,675768.2188428963
1499,138015.56248796312
1500,171844.02006816812
1501,-569223.3041432825
1502,108219.3874089045
1503,2525934.779874452
1504,1047223.7092947864
1505,831628.3121598838
1506,948884.2909137858
1507,789983.6498901045
1508,-1059626.6802717175
1509,-167830.83904583185
1510,161025.14224442886
1511,-1636823.573991589
1512,88835.14853711639
1513,334133.9128891168
1514,5855731.840913312
1515,-1095385.4837384832
1516,-6055674.5854526535
1517,3797386.7532229996
1518,3696178.52582046
1519,1719952.653286425
1520,36882.793263112486
1521,-287843.573672435
1522,193771.61113074963
1523,-2124481.032543902
1524,-2064054.543577777
1525,-2710398.3900884995
1526,-1207236.442004032
1527,-1895459.0844758379
1528,-5805388.743817621
1529,-1829864.2446271467
1530,295260.9885809961
1531,-3493550.5238488074
1532,-4629825.21292686
1533,-1629483.4679780526
1534,-2767471.00446994
1535,-6383726.565672329
1536,-6953208.57548274
1537,-1419800.031410605
1538,-3324499.874805477
1539,-1248563.416645199
1540,718130.3941132925
1541,-2008670.7232594353
1542,990385.4734267519
1543,-322636.39688635804
1544,-131096.44884640267
1545,-3397314.6857082164
1546,-1505171.8470402327
1547,-1773814.993096169
1548,-1790484.1585764699
1549,-2435769.1501752483
1550,-1758854.877777475
1551,-5368642.582847083
1552,-2926120.1301821377
1553,-168580.61552758535
1554,-2894038.9280955787
1555,1053443.7238448518
1556,-1728778.9410503062
1557,-636022.0470697474
1558,-2904039.2021410693
1559,1515880.8624059723
1560,-4137303.480507143
1561,6788989.823030307
1562,-158429.47533541216
1563,-172543.61591749187
1564,5397111.231304047
1565,416640.4778170095
1566,1906943.810971967
1567,-234363.74975326107
1568,700972.774311477
1569,-257089.03407941604
1570,-335972.1966024252
1571,-2271874.659089825
1572,-970826.8475269399
1573,840633.4161748271
1574,439503.3041249204
1575,1751549.8449135602
1576,-102677.01867963691
1577,-254152.6123742196
1578,-1957180.4188138212
1579,-2214979.2418701346
1580,444924.47953717166
1581,-207948.04234569197
1582,-1286631.8767942823
1583,1987807.0562789578
1584,675656.4330003498
1585,-228869.50239701956
1586,-62432.0473397116
1587,-1921582.1435313777
1588,-632206.2576253795
1589,-2251743.5277970587
1590,-30278.59264662527
1591,-411536.87170352286
1592,-3624995.817168892
1593,-1943252.8600480629
1594,-76176966.38513084
1595,-79361.99581442183
1596,-1006192.4899993275
1597,4007877.12513799
1598,198154.74307940452
1599,610751.6683557335
1600,1156883.7731714996
1601,-1362665.7914014163
1602,-2591943.6039271005
1603,-1809587.2657970095
1604,-2074827.0151001613
1605,519816.785697471
1606,1547105.0123213215
1607,6229795.318279096
1608,-783549.4695817987
1609,-7836.409315963305
1610,-38921.45688007909
1611,504708.735231858
1612,-291185.227805168
1613,426504.80332798476
1614,453857.14574844413
1615,776119.3000653039
1616,711032.8893332634
1617,124613.1973762067
1618,-1090125.867798254
1619,-1093897.753670471
1620,6970069.155019566
1621,-1443245.554495829
1622,-2059131.2779341426
1623,835107.7515858258
1624,218494.2779314548
1625,-949584.5974890772
1626,1668742.425923026
1627,-1060678.9881190544
1628,2382031.955680428
1629,2407453.8286308884
1630,1725944.5193768763
1631,-885958.4572200711
1632,-61293.22325436605
1633,1234765.2660373999
1634,-41938.70599188664
1635,23685.04074119017
1636,-498880.3886690963
1637,-11529.617612352391
1638,1056647.7175425582
1639,-279626.01880746556
1640,3232001.669653661
1641,-494792.7079850193
1642,996375.7206384055
1643,1209317.4159272078
1644,-150889.36178876003
1645,-11962.853041886847
1646,992233.9211058856
1647,-111664.28833997986
1648,311396.040881965
1649,1135181.2773225505
1650,-1070712.3910965845
1651,-1564893.0215500558
1652,-649383.7356816992
1653,-802616.1673608691
1654,304376.72022582695
1655,-285444.6847968607
1656,1114385.0957013401
1657,759153.5902705707
1658,1297082.1462137555
1659,-216010.1373953362
1660,3222193.8796268953
1661,3049342.526527994
1662,1631100.1181223288
1663,1916002.516690984
1664,6476573.050657488
1665,1239568.332795878
1666,1763743.479034553
1667,3015514.410409858
1668,2144457.1805652496
1669,900562.7630951791
1670,914819.9185081956
1671,354297.7963008678
1672,1213239.4764449087
1673,2119108.4247460463
1674,866091.5990686961
1675,709118.7325920973
1676,731689.9915280691
1677,719420.9341586339
1678,3179330.7677403307
1679,1244181.4161826891
1680,2668837.7840327406
1681,1604983.851147285
1682,332065.35854494397
1683,393103.0073658113
1684,-576432.9611562897
