Id,SalePrice
1461,133000
1462,151500
1463,185000
1464,174000
1465,189000
1466,181000
1467,185000
1468,174000
1469,175000
1470,129000
1471,181000
1472,112000
1473,106000
1474,148500
1475,148500
1476,280000
1477,318000
1478,313000
1479,314813
1480,374000
1481,280000
1482,202500
1483,181000
1484,192500
1485,184100
1486,178000
1487,250000
1488,232000
1489,250580
1490,185000
1491,178000
1492,79000
1493,187000
1494,341000
1495,260000
1496,207500
1497,151000
1498,151000
1499,151000
1500,179400
1501,168500
1502,148800
1503,370878
1504,210000
1505,210000
1506,190000
1507,210000
1508,175000
1509,123000
1510,142000
1511,140000
1512,135000
1513,107000
1514,150000
1515,135000
1516,143000
1517,148000
1518,110000
1519,272000
1520,140000
1521,135000
1522,141000
1523,135000
1524,120000
1525,123000
1526,140000
1527,145000
1528,105000
1529,155000
1530,160000
1531,139000
1532,110500
1533,130000
1534,119000
1535,110500
1536,115000
1537,100000
1538,117500
1539,107500
1540,80000
1541,155000
1542,127000
1543,128000
1544,109500
1545,119000
1546,145000
1547,133000
1548,127000
1549,117000
1550,128000
1551,143000
1552,135000
1553,96500
1554,140000
1555,240000
1556,112000
1557,140000
1558,145000
1559,85000
1560,140000
1561,135000
1562,127000
1563,127000
1564,135000
1565,172500
1566,190000
1567,108000
1568,190000
1569,127500
1570,119000
1571,115000
1572,120000
1573,215200
1574,108000
1575,277000
1576,171000
1577,230000
1578,135000
1579,148000
1580,230000
1581,154000
1582,139000
1583,260000
1584,178000
1585,143000
1586,108000
1587,150000
1588,123000
1589,145000
1590,125000
1591,108000
1592,91000
1593,155000
1594,160000
1595,169000
1596,160000
1597,145000
1598,248000
1599,124000
1600,124000
1601,144000
1602,125500
1603,108000
1604,275000
1605,173000
1606,170000
1607,171000
1608,220000
1609,269500
1610,214900
1611,115000
1612,201000
1613,201000
1614,143000
1615,97000
1616,88000
1617,127000
1618,144500
1619,129000
1620,200000
1621,129500
1622,135000
1623,201000
1624,201000
1625,123000
1626,135000
1627,181000
1628,215000
1629,168500
1630,278000
1631,213500
1632,251000
1633,178000
1634,185000
1635,173000
1636,174000
1637,185000
1638,290000
1639,205000
1640,205000
1641,190000
1642,250000
1643,290000
1644,185000
1645,155000
1646,157000
1647,157000
1648,140000
1649,135000
1650,129000
1651,120500
1652,100000
1653,106000
1654,148500
1655,148500
1656,148500
1657,147000
1658,148500
1659,147000
1660,148000
1661,313000
1662,280000
1663,350000
1664,325000
1665,230000
1666,315000
1667,215000
1668,451950
1669,280000
1670,325000
1671,325000
1672,325000
1673,309000
1674,230000
1675,202500
1676,196000
1677,202500
1678,220000
1679,325000
1680,318061
1681,319900
1682,325000
1683,202500
1684,178000
1685,174000
1686,192000
1687,189000
1688,174000
1689,178000
1690,173000
1691,173000
1692,216500
1693,173000
1694,185000
1695,178000
1696,214000
1697,178000
1698,290000
1699,232000
1700,290000
1701,190000
1702,262500
1703,155000
1704,227000
1705,227000
1706,385000
1707,182000
1708,185000
1709,250000
1710,185000
1711,185000
1712,222000
1713,210000
1714,232000
1715,210000
1716,179900
1717,201000
1718,141000
1719,215000
1720,129000
1721,159000
1722,159000
1723,155000
1724,147000
1725,215000
1726,173000
1727,179200
1728,155000
1729,215000
1730,169000
1731,125000
1732,132500
1733,135000
1734,150000
1735,130500
1736,129000
1737,218000
1738,290000
1739,174000
1740,208900
1741,196000
1742,168500
1743,155000
1744,218000
1745,245500
1746,187000
1747,197500
1748,250000
1749,148000
1750,175000
1751,205000
1752,145000
1753,140000
1754,190000
1755,148000
1756,180500
1757,135000
1758,139000
1759,139000
1760,155000
1761,142000
1762,225000
1763,158000
1764,141000
1765,60000
1766,155000
1767,160000
1768,139000
1769,135000
1770,142000
1771,139000
1772,133000
1773,135000
1774,110000
1775,156000
1776,155000
1777,119000
1778,155000
1779,144500
1780,105000
1781,141000
1782,115000
1783,178000
1784,137500
1785,109500
1786,128500
1787,168000
1788,98000
1789,86000
1790,110000
1791,200000
1792,135000
1793,140000
1794,127500
1795,142000
1796,242000
1797,139000
1798,141000
1799,140000
1800,132500
1801,132500
1802,139000
1803,110000
1804,135000
1805,140000
1806,117000
1807,119000
1808,117000
1809,147000
1810,155000
1811,55000
1812,79000
1813,117000
1814,116050
1815,109500
1816,120000
1817,125500
1818,124000
1819,120000
1820,108000
1821,115000
1822,140000
1823,100000
1824,91000
1825,108000
1826,120000
1827,137500
1828,127500
1829,100000
1830,157500
1831,130000
1832,110000
1833,125500
1834,159500
1835,122000
1836,115000
1837,137500
1838,140000
1839,108000
1840,179000
1841,144000
1842,113000
1843,158000
1844,148000
1845,158000
1846,145000
1847,190000
1848,112000
1849,144000
1850,113000
1851,159500
1852,117500
1853,143000
1854,173000
1855,160000
1856,215000
1857,130000
1858,142953
1859,118964
1860,153337
1861,118964
1862,200000
1863,200000
1864,200000
1865,194000
1866,230000
1867,230000
1868,230000
1869,192000
1870,214000
1871,230000
1872,178000
1873,240000
1874,147000
1875,163500
1876,230000
1877,214000
1878,235000
1879,156000
1880,144000
1881,235000
1882,195000
1883,237000
1884,178000
1885,315000
1886,213000
1887,213000
1888,192000
1889,178000
1890,171000
1891,164000
1892,135000
1893,129000
1894,118000
1895,148000
1896,135000
1897,160000
1898,128000
1899,200100
1900,234000
1901,160000
1902,145000
1903,164000
1904,154000
1905,167000
1906,60000
1907,235000
1908,124000
1909,124000
1910,151000
1911,168500
1912,315000
1913,55000
1914,73000
1915,392500
1916,125000
1917,215000
1918,165500
1919,165500
1920,112000
1921,320000
1922,220000
1923,194500
1924,187500
1925,220000
1926,320000
1927,143000
1928,160000
1929,147000
1930,170000
1931,129500
1932,173000
1933,160000
1934,181000
1935,178000
1936,185000
1937,181000
1938,173000
1939,286000
1940,189000
1941,225000
1942,183900
1943,189000
1944,189000
1945,275000
1946,160000
1947,385000
1948,225000
1949,205000
1950,135000
1951,207500
1952,180000
1953,180500
1954,205000
1955,135000
1956,190000
1957,176000
1958,315000
1959,136000
1960,140000
1961,140000
1962,118000
1963,118000
1964,106000
1965,155000
1966,148500
1967,318000
1968,555000
1969,275000
1970,285000
1971,313000
1972,215000
1973,285000
1974,230000
1975,235000
1976,284000
1977,250000
1978,215000
1979,318061
1980,202500
1981,367294
1982,254000
1983,319900
1984,175500
1985,192000
1986,178740
1987,172500
1988,174000
1989,178000
1990,178000
1991,202500
1992,174000
1993,216500
1994,162000
1995,178000
1996,164000
1997,248000
1998,290000
1999,290000
2000,290000
2001,228000
2002,232000
2003,214000
2004,339750
2005,184900
2006,250580
2007,232000
2008,229456
2009,193000
2010,215000
2011,141000
2012,179900
2013,173000
2014,173000
2015,215000
2016,189000
2017,179900
2018,155000
2019,139000
2020,125000
2021,139000
2022,135000
2023,139000
2024,290000
2025,285000
2026,196000
